user_id,stars,reviews
A1DZKS2A27O74W,5,I love these k cups!! One of my favorites! I am someone who likes very light coffee which ends up making the coffee cold very fast and with these you don't need to add anything so it's great!!
A2BT49VZS8GCLA,5,"This is so delicious, just like gas station cappuccino machines, which I love!  I will definitely be reordering and trying other flavors."
A39G12JD41N65D,5,"I loved this Caramel Cappuccino. It reminds me of the taste of Tim Horton's Iced Cappuccino with the caramel flavoring. I made it hot and it was delicious. Then I made it with ice and it was even better!<br /><br />I was a little hesitant to buy this flavor because I saw a negative review and it came in a 36 count package. I didn't want to have to throw out that many Kcups if it was awful. I was pleasantly surprised.<br /><br />We just started using our Keurig a few days ago so we're still testing out all of the good flavors. I've got this on my list of Kcups to stock up on in the future! The Grove Square Caramel Cappuccino is our second favorite flavor at the moment; our favorite is the Celestial Seasonings Sweet Southern Tea.<br /><br />Note: This cappuccino is very sweet. We love sweet drinks so this is great for us. I think it's perfect. However, if you don't like sweet drinks, you may not care for this."
A3NZMYW40Q2TOQ,5,one word  OUTSTANDING!!!!!!!! for both Hot chocolate and cappuccino<br />they arrived  very quickly and was an excellent value  I look forward<br />to ordering again.
A2372GJJHM5BXW,1,These are only for people would want a little coffee with their cream and sugar. Will not purchase these again and Sorry I bought them.
A34CCKO5SSDZ4C,5,"this is a great product for your Keurig brewer, has a rich taste and I look forward to my nightly cup of this delightful beverage"
A1UR128A9U036C,5,"i tried this coffee when it was $ll for 24 k cups delicious. so i bought two more boxes and didn't sign up for monthly delivery, now i can't find where to sign up. and the price jumped to $28.99 for 24 cups. that's $1.20 per cup too pricey for this or any other kcup."
A2NOGTSJV2BY6C,5,I was very happy with the taste of this cappuccino!  Unlike the coffee's which i find to be a little strong for my liking this item was perfect! With the coffee i always use the large cup option and add a ton of cream & sugar to make it where it isnt sooo strong.  But the cappuccino is good even in the small cup option! It taste very much like what you buy at a good convenient store from one of their cappuccino machines!  Looking forward to when this becomes available again so I can order more.  You will really want to order this 3 pack instead of a single pack!
A21AD2367U712,2,"I do enjoy Hazelnut flavored creamers as well as french vanilla creamers in my coffee, I know the flavors aren't exact but  since I enjoyed them in coffee I might like them in cappuccino as well.  I love the french vanilla flavored variety they sell, so much so I've had to purchase additional (early) shipments from subscribe-n-save.  Unfortunately the hazelnut isn't so great, and not b/c it's 'convenient store' cappuccino either.  I prefer that over 'real' stuff.  It smells wonderful, but just something in the flavor that's lacking and it leaves a weird after taste.  Just wish I didn't buy the 36 count.  Definately buy the French Vanilla variety if you are trying to choose between the two."
A3JOYNYL458QHP,5,"My wife loves it. It's too sweet for me, but I don't have to drink it. Reasonable price. Good shipping.<br /><br />Be careful or it can drip down and you'll find yourself growing something slimy and green out of sight."
A1J7NIJWK2RLGC,5,I bought the French Vanilla Cappuccino for my wife...she absolutely loved it.  It actually has a nice froth on top when you make it...
A1TDJ04RHXM83U,4,"I buy this for my grandson, he loves it.  Started buying it because of the good price, but I see it is creeping up.  Can't continue if it goes any higher."
AXQ43KVNU6TVN,5,This cappucino is so good that all the employees at my office are drinking this now and want me to order more! And I was going to try to keep it all to myself!
A13K6UZJOG2P8R,5,"This is exactly what I expected, its the same thing you get out of connivence store machines . For about 50 cents a cup I think its worth it and I ordered 2 more."
A3B9OUYMXYO6OX,5,"yes, this is flavored coffee already...but, it's a great base for some spiked refreshment.  i like Carolans or Baileys, but Saint Brendans works well too.  be sure you use a tall cup so you have room for the extra spirits. what could possibly go wrong with that! i'm signing up for a subscription with free shipping."
AAUIAX8LH3NGV,5,"I am increasing my monthly order for this product.  We tried it iced and it is delicious, but also love it hot."
A1D3R6Y336PDYU,5,"We are not a coffee people in the least which made it strange when my husband and I decided to get a Keurig machine. However, we both love that cheap gas station ""cappuccino."" This is PERFECT. I'll be reordering again SOON."
A2NSEB4IENLF5O,5,"I am not a Vanilla Cappuccino lover, but this is pretty good! My husband & friends love it. It is great for the price & like I told my DH~~~It's for sure better than a gas station cup of cappuccino & a lot cheaper."
A23UW1116PTM1Q,5,"We love this product.  It's a smooth and flavorful Cappuccino.  Had never heard of Grove Square before, but the price was great and I'm really glad we gave it a try"
A2LJBS1PDOH8FS,4,"I'm currently deployed and the taste of ""home"" in this Cappuccino was more than I bargained for!  Finally a hot cup of Cappuccino that not only tasted great but gave me that little kick in the morning to get moving! Thanks Grove Square!!"
ADC0EULMB2LCF,5,"I Bought This Cappuccino Because of The Price.<br />My Wife and Son Went Through The 24 Pack in 2 Weeks.<br />I Have Other K-Cup Coffee's, This Is Their Favorite.<br />We Now Have it On Automatic Ship(Don't Want To Run Out)"
A9IYL02ZSS73E,5,"Like others said, if you like the ones that come out of the dispensers at the mini marts & gas stations then you should like this. I use the 10oz setting on my brewer so it doesn't water it down too much (it's a powdered mix like the hot chocolates). Also my wife is not a coffee drinker but liked this.<br /><br />Placed order when it was out of stock, but only took about week to arrive via prime."
A1JFOQKALAXP4P,1,B005K4Q1YA  This is just plain nasty tasting. Had to cancel subscription. The artificial sweetener is very overbearing and made the weak coffee taste like apple peelings.
AAWRFPMRM3XMS,5,We were pleasantly surprised by how delicious this single serve Cappuccino was!!  It is perfect and tasty without any additional sweetener or creamer!
A1PWPCCDWOIMTM,5,"For a former coffee shop owner, I'd like to think I have some discriminating taste when it comes to ""fast food"" coffee. I was quite happy with the quick version of a vanilla cappuccino, although I'd consider it more of a latte. I do like it even better if you brew the smaller cup of espresso through the machine."
A2EH92EIGZ5RCC,5,"I am really surprised that this products gets such a bad rap some times.  It is not coffee, it is a coffee DRINK, and it is darn good.  If you ever go to the grocery store and purchase a cappuccino drink that is ready to go and you just have to add hot water, this is<br />similar, and it is good!!!  You could add a little whipped milk on the top if you want, but you don't have to!!  I am very happy with this product!!!"
A2FOCDYGX0KH06,1,"This entire line of products are crap!  They are not real coffee, but instant.  Do not waste your money.  You can get a better product at ANY dollar store."
A15Q37544GQZWZ,2,"First of all, tasted pretty good.  BUT, contacted a few Keurig K-Cup authorized on-line  sellers and was told by all that Grove Square are NOT approved by Keurig and using them will void the warranty on your brewer. Was told they are a ""pirated"" product.  Upon inspection, I discovered that the content are powdered milk, sugar, artificial flavors and INSTANT COFFEE!  Not even real coffee. Not sure if I'll buy again but does taste like Cafe Vienna instant coffee products with the convenience of Keurig. All authorized on-line sellers cannot carry them due to contracts with Keurig. Guess, buy at your own risk."
A11PM0C1979EZA,1,This is the first coffee I tried when I got my Keurig.  I was so disappointed in the flavor; tasted like plastic (like drinking bottled water that was left in a hot car).  I thought maybe I hadn't cleaned the Keurig enough so I put through more water and brewed another cup...same horrible taste.  I would not recommend this brand to anyone.
A2YGNPKICOZTLQ,1,"This coffe is terrible, too sweet and it does not taste like Cappuccino at all. Save yourself some money and buy real coffee like the San Francisco Bay Fog Chaser for your Keurig. <a href=""http://www.amazon.com/gp/product/B005K4Q1YA"">Grove Square Cappuccino Cups, French Vanilla, Single Serve Cup for Keurig K-Cup Brewers, 24 Count</a>"
A1H1HF9Z52E4KU,5,This is a great product and was happy to find it online at a great price. I had originally bought it at Wal-Mart and was sad to see I could no longer purchase it there. There were great prices through Amazon and will definitely be purchasing more. The flavor is great!
A2FHARVX11W4M7,5,"I admit to being a little skeptical because I don't really like sweet pretend-coffee drinks, but this was really good.  I would definitely recommend it if you like Capp.  You don't need to add milk or sweetner."
A3U7Q41SJ4PWI,5,But the truth is that I think it is bad for me.  Nothing is real in it.  I figure I will do better not adding it to my diet.  I reluctantly am cancelling my subscription to it.
AXRUYD8XAHLM5,1,"I ordered Grove Square K-cups - the cappuccino variety, for my Keurig BREWER.  As with all of the other K-cup coffees I've purchased, I expected it to be filled with coffee for my Keurig to BREW.  Unfortunately, it is filled with instant coffee and flavored with creamer and sweetners.  It tastes HORRIBLE.  I'm pitching the rest -it's not even worth donating to our church.  If I'd wanted Sanka, I would not have purchased an expensive coffee brewer - the microwave would have been good enough!  What I WANT is a cup of freshly brewed coffee.  The product description did not disclose the fact that it is fake coffee.  If a real cup of freshly brewed coffee is what you want from your Keurig brewer, DO NOT BUY THIS PRODUCT!"
A3EHFQ2ZL4ALA,1,"I just tried this product for the first time this morning and was eager to do so. Boy, was I disappointed and disgusted! I tried with all my might to get through a fourth of the cup but I simply could not do it. This so-called cappuccino tasted greasy and overly sweet at the same time. I did not even know that was possible for a caffeine product. I would have rather had gas station cappuccino than this garbage. I wish there were a way for me to return the 22 K-Cups that are left but, sadly, they will just end up in the trash. What a waste of my hard-earned money."
A40KM69R8SPAK,1,"I have tried several coffee k-cups. From Starbucks to Moonlight coffee...virtually every kcup<br />This coffee tastes more like chemicals. No wonder the price is so low.<br /><br />Do not buy this Coffee -- sorry to say !!!  The worst coffee i ever bought and the biggest mistake i did that I bought several ones.... If anyone needs the chemical coffee , i am willing to sell it out for 50% less price"
A23ARZPC4I5REW,2,"Imagine yourself craving coffee. But you're on... a big ferry boat. With a single coffee vending machine. The kind that you wouldn't venture near if you had any choice in the matter. But you need a hot beverage, or the caffiene, or something warm to hold, whatever. So you bite. The paper cup shoots out of some recess in the machine, and a close approximation of coffee pours into said cup, with the familiar, but suspect aroma of vanilla in the air. Then you taste it - and yup, it's exactly as vending machine icky as you hoped it wouldn't be. You taste the artificial, and you learn to settle for it. Because you're stuck on a boat.<br /><br />Well, Grove Square Capuccino Cups, French Vanilla - are just a little better than that. A smidgen better, not much more.<br /><br />So if you aren't stuck on a ferry boat (or train station, or gas station, or local DMV waiting area or someplace equally dismal), and if you actually do have a choice, I would urge you to at least try before you buy. So you aren't stuck with 23 k-cups that make you cringe :)"
A1KEC3UV1DDEM7,2,"I was really excited to get this product, as an alternative to straight coffee, for my keurig. Sadly, not only am I disappointed that it is not frothy, as the picture on the box shows, but 1/4 of the box are defective k-cups. The edges of the foil on top are not sealed, so the cups contents have leaked and the machine does not function properly if you still try to use them. I feel that I definitely wasted my money."
A2WMIIQFBS0AGC,2,I was really disappointed with this instant coffee. YES. Instant coffee. They should have added stronger coffee and less creamer/sugar. Too mild and sweet for me.
AWEBTQUXK7YB4,1,Very poor taste.  So sweet that it makes you sick.  This stuff is awful.  Weak coffee...all you can taste is the sugar.  Can't imagine anyone would actually like this stuff.
ATQGAT717JDB6,1,Should have read more about the contents before ordering. I agree that more than Keurigs it tastes like the instant coffee that you get at rest stops. Really disappointed.
A2HO39019JQQR9,1,"There was only one bad review, so I decided to ignore it because most of the reviews were favorable. What a mistake. It is really watery and the taste is not the same of the convenient stores. Waste of money. I will not recommend this product."
A1TO3HGPDUD9V0,1,"Defeats the purpose of K-cups. It just instant coffee, and much more expensive than normal instant coffee. Either get instant coffee cheaper, K-cups that have real coffee in them for more money or just brew regular coffee."
A3EJ0IRBMGEYNV,1,I purchased this even after a few other reviewers mentioned that there is a fake sweetener taste thinking it would be ok but the taste is really overwhelming. If you are ok with drinking diet soda you will be ok with these. If not I would stay away. I keep trying to feed these to guest but with very poor luck :-).
A35R32TA60XD57,1,"In two words...awful and artificial.  I didn't find any place I could find out what the ingredients were in this until after I got it and it tasted so weird.  I know, I should have checked it out first, but I didn't even suspect artificial ingredients would be a concern.  Anyway, it is non returnable but Amazon did refund my money for this because to us, it is not fit for consumption."
A2BNHIPHE8OQZ2,1,"Read the label carefully, it's instant coffee, not the ground coffee as the other brands, no filter inside, and had partially hydrogenated oil in it, I returned it as hydrogenated oil is harmful and the coffee itself is kind of gas station quality."
A1HM9ZCU43N6XD,5,"This coffee beat our expectations. We bought it thinking we would try it out because of the cheap price, but found that the coffee is very good and hope to buy more at this amazing value!"
A3T0DU2IH2E13R,1,I tried this and was disappointed. No coffee taste and artificial milk and sweetners. It does not really taste like a cup of cappuchino that you get in a store or restaurant---It is really an artificial made up blend ----stay away or try it at your own risk.
A12IV289AW75FV,5,"I love these K-cups they are wonderful.  I have bought hazelnut, French Vanilla, Caramel and Caramel Apple Cider.  I love<br />each one.  They are absolutely terrific."
A3TXT588J6OR0Y,5,I Have been ordering this k cup cappucino drink for awhile now and have never had a problem! Love it tastes good!
A34VU0NSTNNTRQ,5,Great price.  Really love the the flavor.  No need to add anything to this cappuccino to enhance the flavor. Really enjoyable anytime drink. This is a house hold favorite.
A28LXT9XBGRA18,1,It's silly to call this a Cappuccino. There is no coffee flavor whatsoever. I have even tried making this 1/2 and 1/2 with strong coffee. Still can't tolerate it.
AQ9336463S5W8,2,Thought it was coffee k cups we were purchasing but it is powdered drink mix. Read carefully before buying this brand.
AH1QYCY9W98C5,4,This is a product that we will use again as it was a quick way to create a drink that satisfied the need for a casual cup of refreshment.
A2ULZQ6VFL2MCD,5,"I love this product, the taste is so rich and satisfying.<br />When your craving something sweet , this takes that edge off and only 80 calories!"
AJ5XWPOIPOKFB,5,"The flavor is rich, sweet and you do not need to add anything to it. It has sugar and cream already in it...just pour and enjoy it as is!"
A12FGETYAHR723,5,"I love this coffee.  So far have only had the vanilla but going to try the others.  It is like having a cappuccino in a coffee house. Try it, you'll love it."
A2D9UWGVKD8IXK,5,If you like flavored coffee these are a real treat!  They are a great afternoon pick me upper and the price is right!
APWA6B5K04EQI,1,I couldn't even finish the cup of this. It was extremely sweet and I could feel a cavity coming on! I'll be offloading the rest of this box...
A2SSIBT9RTIH4S,5,"This is my all time favorite k cup, so far ;) we are about 2 weeks into our first keurig and have been trying all sorts of flavors.  this one is, by far, THE BEST!  used a french/vanilla creamer with it also, made it even better."
APGONAKJGE5EP,4,"I bought this item for an occasional treat but still have to find the right setting use to make it have that perfect flavor. The largest ""Travel Mug"" setting leaves the coffee too weak and the smallest ""coffee cup"" setting is too much and even the middle size isn't ""just right"" and sort of tastes like a ""lite"" cappaccino. I never thought I was hard to please but it seems like this has proven me wrong.<br />The price is pretty good so I can't complain on that note, but I guess I'm going to continue to drink this item and let it grow on me. As a now-and-then cup of cappaccino it's ok.<br />The 4 star rating is for the price and convenience of not traveling miles to get a cappaccino."
A3MACO24KIT1BV,5,"this product is hard to find for us in stores in ohio, most k cups are french vanilla coffee, not cappuccino, its delicious, will buy again for sure!"
A3C3LBMRCCYYPZ,1,Tastes like melted plastic.  I will not buy this ever again nor would I recommend it to anyone else.  Ick!
A3XBK7BSRQGB8,5,"This is not cappuccino flavored coffee like the one from Gloria Jean's, this is semisweet yummy real cappuccino. (Tastes like the cappuccino from gas station machines) Perfect just the way it's brewed, no sugar or creamer needed."
A17H8PXE468O8K,2,I think half the cups were not filled or defective.<br />They seemed empty and the coffe came out like cream colored water. Yuck!
AAYRB1RE3A1QL,5,I love cappuccino from the gas station. It is sweet and a good pick me up. This tastes just like that! I love love love it. French vanilla and caramel yum yum yummy too. I highly recommend this item for those who love the sweet gas station cappuccinos. I like it sweet and creamy and that is what this is.
AO7L9S511TNAC,5,If you think nothing beats a great cup of cofee in the AM you need to try Grove City Square Cappuccino.Just a greaaat way to start the day.
A1JTSUAJLIT9GK,2,"Unfortunately these flavored Cappuccino's don't live up to the old Gloria Jean Cappuccino. They are all sugar and artificial flavoring. However, if you are fine with tons of sugar, artificial sugar and artificial flavors then this would be a very good product for you."
A1YWF2A6J23YZB,5,I love this cappuccino.  I have tried many others and this one is now the only one I buy.  I wish I could find it in the stores around here but no not here.  I love to sit down at night with my jammies on and my favorite book or TV show and just relax with my cappuccino!<br />A perfect end to the day.
A2RZPV3R0GT83Z,4,"My wife doesn't like standard coffee and has gotten used to the SBUX specialty drinks. While these cups aren't in the same league, they are still good with significantly less calories. Good taste, great price, good product."
A1O813R7I4NXXB,5,"French vanilla single serve cups by Grove Square for the Keurig K-cup brewers is my absolute favorite!<br />Every morning before I leave for the work-day drive, I brew a tall mug of the French vanilla with a cup of one of my favorite bold coffees. The cappuccino/bold coffee mix keeps me alert on my drive, and by the time I reach work, I am raring to get the job done. This is especially umm, umm good on these cool Fall mornings.<br />Pepper Miller<br />Greenville, SC"
A2HF8IM0W4UFVM,5,Great quality service and product every time !! Everyone should try Grove Square French Vanilla Cappuccino cups.  The option for the 3 pack 18 count best fits my lifestyle.
A2JZ6J6CL3I185,1,"Terrible flavor.  Watery and weak. Does not compare to the supposedly similar Cafe Express brand of Chai Latte.  DO NOT ORDER *YOU CAN NOT RETURN OR EXCHANGE FOR A BETTER PRODUCT*.  You will not like this, that is why it is so inexpensive compared to regular coffee K-cups."
A2PO59VPM6WD0I,5,"I tried Grove Square Cappuccino when I was in Washington state and enjoyed it tremendously. After returning to my home in Montana, I found it was unavailable here. I, then, ordered from Amazon and haven't been disappointed with the cappuccino or with Amazon.com. Thanks for a great product and a great price."
A1KBP78UEQOLBJ,2,The coffee taste is good but just too sweet for my liking. Also they seem to use instant coffee which can leave bad aftertaste.
A2WBIX7X3IV0AJ,4,"It is a great tasting ""coffee"" but in fact it is more akin to a hot chocolate than a coffee.  The flavor is coffee (not chocolate-y), but  I noticed it didn't give me the pep as my other Kcups, so I decided to open one of the Cappuccino Kcups and noticed that (unlike my coffee Kcups) this was only a powdery mix - NOT ground coffee placed over a filter - the standard innards.  If you are ok with the idea that this is a coffee equivalent of a hot chocolate powder mix, then this is a great tasting buy, with less pep than coffee."
A3UIV2N4A2V7XO,1,"First, it's not coffee. It's an instant powdered mix, which is completely disappointing. I was expecting flavored coffee, not instant mix in a small container. Kind of defeats the purpose doesn't it?  I guess it's my fault for not having read the package? But no where in the product description does it indicate this is ""Instant Coffee"".<br /><br />I would never buy this product again.  It smells wonderful, but tastes like what it is, and that's simply not good for someone looking for a cup of coffee."
A1PWI6KZ7AW0ML,2,"Received cappuccino K cups from Grove Square, they were in a mailer box not even in the original box , I was unable to see nutrional value of any of the three types of coffee , it is super sweet, I am very disappointed and am stuck with $45.00 of K-cups."
A346BHQCKY876O,5,I had tried this Cappucino in a package of a variety of flavored coffees when I bought my Keurig coffeemaker<br />and really liked it.  I still enjoy it and loved getting the packages mailed from Amazon. I have always had<br />wonderful service anytime I have ordered anything from Amazon. G. A. Bryson
A22KYJ5282CP1Z,2,"I typically love vanilla cappuccino, and have tried many brands and was excited to try this.  However I had to dump it out because of a Very Strong Artificial Sweetener taste. I also verified that low sugar or low calorie was not on the box.  So something happened in packaging the product, or a very bad recipe.  However I will not buy these again..."
A3T8RQO7MS1OI0,5,"I love this French Vanilla cappuccino!  It is exactly what I was looking for to make in my Keurig.  You see, I am NOT a coffee drinker so I am always on the look out for tea or other speacialty drinks to make in my Keurig.  This would be similar to the Cafe Escapes Cafe Mocha and Chai Latte.  It is a mix that fully emties when you run it through the Keuirg.  A word of warning to the die hard coffee drinkers...this is not your Starbucks cappuccino.  It's more like your gas station cappuccino, which was exactly what I was looking for.  Great taste even on the largest cup setting on the Keurig platinum.  My new favorite morning pleasure."
AKGG1DDHNA7XW,1,"Ingredient: Partially Hydrogenated Vegetable Oil (may contain coconut, soybean, sunflower, palm and/or canola), Sugar, Corn Syrup Solids, Instant Coffee, Sodium Caseinate, Salt, Natural and Artificial Flavors, Cocoa (processed with alkali), Dipotassium Phosphate, Cornstarch, Mono- and Diglycerides, Silicon Dioxide, Soy Lecithin, Artificial Color, ""Sucralose""."
A241A7W4WQXEDX,1,"This stuff tastes like the ""coffee"" you get from those vending machines at interstate gas stations or 7-11s.  The first ingredient listed on the box is group of partially hydrogenated vegetable oils.  Doesn't bode well for a supposed cappuccino.  That's followed by multiple, seemingly random sweeteners, then instant coffee, a long list of other stuff that has no business associating itself with coffee, and then (inexplicably) sucralose, which gives it a strong artificially bitter aftertaste.  I took 2 sips about 45 min ago, and still can't get the taste out of my mouth.  Definitely avoid."
A20A2SOQ4E05FZ,5,"This was very different from what I originally expected it to be.  That being said, I found this to be probably the best k-cup I have ever had.  It is very creamy and has a great hazelnut flavor.  I enjoy a cappucino once in a while and I love hazelnut coffee.  I expected this to be more of  cappucino with a light hazelnut flavor.  That was not the case.  This is like a creamy coffee/hazelnut flavored hot cocoa without the cocoa.  I was expecting something completely different but ended up being pleasantly surprised.  This is a great after dinner or mid day pick-me-up and this will now hold a permanent row or two in my revolving k-cup counter top display. If you want a real cappucino, this isn't for you.  If you want a great tasting hot liquid sweet snack, get this.  I liked this so much, I will be ordering the French vanilla version to give that a try as soon as I complete this review. Also, you cant beat the price....less than $10 delivered to my door.  Wooooo Hooooo!"
A3NID9D9WMIV01,5,"This coffee is delicious. I would assume it's an instant blend, because the K-Cup is completely empty after usage. The caffeine content is low, so it's a great afternoon coffee that won't keep you up at night. If the price stays at 10 dollars with free shipping, it's a good deal. Once they raise the price though, I'm out of here."
A33DBT08PM908I,5,"Sure they are more like instant coffee than freshly ground, and there may even be some artificial sweeteners in there, but the truth is, they're delicious. And for those of you who don't want to put these things in your body, feel free to send them to me. I'm not that picky. I'm a healthy eater all day long, 2 cups of fakely sweetened, fake coffee a day isn't going to kill me. And if it does, so be it, a life without taste is a waste!"
AEA2PXYT7WYB4,2,I was so excited to receive these K-cups and had one today. I wasn't very impressed. It tasted watered down and I had to add Stevia and sugar free creamer to make it taste half way decent to drink. I like a stronger tasting coffee and these just don't cut it. I'm giving both boxes to my daughter-in-law. I knew I should have ordered only one box to try first. Oh well...live and learn. I cancelled my subscribe and save too.
A1BIZKW047ROEO,5,"Grove Square Single Serve Cappuccino Cups, French Vanilla, K-Cups for Keurig Brewers, 24-Count<br /><br />I was concerned it would taste watered down, but I think this is delicious.  The caramel flavor in this brand is excellent, too."
AP8JWRAMSNPDN,5,"I purchased the Grove Square French Vanilla Cappuccino K-Cups not really expecting much for the price...Boy was I WRONG!!!! This cappucinno is absolutely delicious!!!! It tastes just like what I buy every morning at the gas station on my way to work...ONLY IT IS MUCH CHEAPER!!! It's also more convenient now that I can make it at home and not have to stop at the station to buy it! Makes my day a little smoother and I don't have to rush!<br />Yes, this K-cup is instant coffee, but so's the stuff I buy from the machine at the gas station! I love it! I love the price! I love the taste! I will make sure to keep this in stock at my house...especially if the price stays low!"
ADSGJIX2XGP5K,1,Threw the entire box away.  I thought I was buying Cappichino grade coffee not realizing it was a pre-mixed crappichino. Not only is it premixed but the main ingredients couldn't be more fake and gross. It's a k-cup full of preservatives......YUM.
A3JM9PLW3GC6XH,3,This is a fairly weak Cappuccino and a little bland. Still shopping for a good one........It doesnt have much taste at all really. To me its very watery...
A1NDDKN0RUMTQ,3,"This is the first time I ordered, I hadn't read the reviews, which I know I should have. The product was very very sweet, and I like sweet. I kept the coffee, BUT, personally this might be ok if I make it as an iced coffee for the summer.  I guess if you like extra sweet, this is the coffee for you."
A3FYZNXA411W1J,4,"Just love these and can pretend they are ""cocktails"". Most of my friends love them too.  However, I prefer them a little less sweet, so I runn it through the Keurig twice.  Tastes good to me and is cheaper."
